,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
0,3300,-9.152642449360762,0.3,3300.0,[ 0.02304276 -8.70485742],-8.681814652268086,0,-5.959424938967417e-05,0.0004232555769329059,0.00017257333265860642,8.952657168238105e-05,0.0,[-4.80201908e-08 -2.78516148e-04],-0.00027856416826072027,[2.43115111e-07 2.27025699e-04],0.00022726881368478793
1,3301,-8.852004559303523,0.3,3300.3599359935993,[ 0.02240647 -8.70809662],-8.685690142255481,26,-0.00021789061042499147,5.6942112144241414e-06,7.791483781100143e-05,0.0001739788367060019,0.35883588358835883,[-4.70955982e-08 -2.78297533e-04],-0.0002783446283662968,[2.43808008e-07 2.27068210e-04],0.00022731201788387038
2,3302,-8.610929292541252,0.3,3300.7198719871985,[ 0.02176867 -8.71133382],-8.689565154041526,52,-0.00024050877485748865,0.0004914988755015715,0.00011112774326962466,0.00016679578249049164,0.7176717671767177,[-4.61682921e-08 -2.78078833e-04],-0.0002781250016443131,[2.44486857e-07 2.27110653e-04],0.00022735513940534243
3,3303,-9.062366822554115,0.3,3301.0798079807983,[ 0.02112938 -8.71456903],-8.693439645734976,78,-3.8856128348251686e-05,0.00015623748256627268,0.00016661461216466213,0.00011160272794551851,1.0765076507650764,[-4.52383252e-08 -2.77860050e-04],-0.00027790528820875455,[2.45151616e-07 2.27153027e-04],0.00022739817818895287
4,3304,-8.778658931327072,0.3,3301.4397439743975,[ 0.02048867 -8.71780224],-8.697313575310668,104,-4.945461482117172e-05,0.0002340548166554611,0.00013066511740257897,0.0001568592786309848,1.4353435343534353,[-4.43057501e-08 -2.77641182e-04],-0.00027768548817382456,[2.45802241e-07 2.27195332e-04],0.00022744113417523453
5,3305,-9.179104005256734,0.3,3301.799679967997,[ 0.01984656 -8.72103346],-8.701186900612695,130,-0.0002044078626704981,8.869900061969546e-05,0.0001024043987344276,0.00016968076192452343,1.7941794179417943,[-4.33706198e-08 -2.77422231e-04],-0.000277465601653942,[2.46438690e-07 2.27237569e-04],0.0002274840073055082
6,3306,-8.786287708370791,0.3,3302.159615961596,[ 0.0192031  -8.72426268],-8.705059579357648,156,-9.255210415724159e-05,0.00035291952175621396,7.122920500809561e-05,0.00017432766036493222,2.1530153015301527,[-4.24329875e-08 -2.77203196e-04],-0.00027724562876373776,[2.47060922e-07 2.27279737e-04],0.00022752679752188466
7,3307,-8.612905469338491,0.3,3302.5195519551953,[ 0.01855833 -8.7274899 ],-8.708931569137816,182,1.9652993081859362e-05,0.00013455664203686207,0.00017373849096231905,8.068638541621784e-05,2.5118511851185117,[-4.14929064e-08 -2.76984077e-04],-0.0002770255696180541,[2.47668896e-07 2.27321836e-04],0.00022756950476726903
8,3308,-8.763176341497807,0.3,3302.879487948795,[ 0.01791229 -8.73071512],-8.712802827424442,208,-0.00018737700394794347,0.00035409919947274163,0.00013410959635993457,0.0001544747368419592,2.8706870687068706,[-4.05504301e-08 -2.76764874e-04],-0.00027680542433193957,[2.48262574e-07 2.27363866e-04],0.0002276121289853637
9,3309,-8.721343971535873,0.3,3303.2394239423943,[ 0.01726503 -8.73393834],-8.716673311570993,234,-0.0001515857273163069,0.00021870101217563216,0.00017434736239037844,7.046547325567767e-05,3.2295229522952296,[-3.96056121e-08 -2.76545587e-04],-0.00027658519302064773,[2.48841914e-07 2.27405828e-04],0.00022765467012067148
10,3310,-8.513092555596833,0.3,3303.5993599359936,[ 0.01661658 -8.73715956],-8.720542978816445,260,-0.0001443166975916803,0.000448006982032377,5.173851049334988e-05,0.00017362365534875866,3.5883588358835885,[-3.86585062e-08 -2.76326217e-04],-0.00027636487579963374,[2.49406881e-07 2.27447721e-04],0.00022769712811849816
11,3311,-8.91027233348888,0.3,3303.959295929593,[ 0.01596699 -8.74037877],-8.724411786288595,286,-7.758285318888692e-05,0.00014412387161571023,0.00010926865503697704,0.00016748000049030099,3.947194719471947,[-3.77091665e-08 -2.76106764e-04],-0.00027614447278455335,[2.49957435e-07 2.27489545e-04],0.00022773950292495659
12,3312,-8.743550836414009,0.3,3304.319231923192,[ 0.0153163  -8.74359599],-8.72827969100738,312,-0.0001411814272274164,0.00019559574369955974,5.3637885285045034e-05,0.00017379848057338685,4.3060306030603055,[-3.67576471e-08 -2.75887226e-04],-0.000275923984091258,[2.50493541e-07 2.27531301e-04],0.0002277817944869692
13,3313,-9.096722812601307,0.3,3304.679167916792,[ 0.01466454 -8.74681119],-8.732146649888225,338,-0.0002087502478562983,0.0004295078360208479,0.00017268140902742984,8.887101263323232e-05,4.664866486648664,[-3.58040022e-08 -2.75667606e-04],-0.000275703409835793,[2.51015163e-07 2.27572988e-04],0.0002278240027522709
14,3314,-9.066088935348409,0.3,3305.039103910391,[ 0.01401178 -8.7500244 ],-8.73601261974539,364,-0.00031723887639806503,0.00031960477014271796,0.00017389554012643812,5.481276921114514e-05,5.023702370237023,[-3.48482864e-08 -2.75447902e-04],-0.00027548275013439526,[2.51522265e-07 2.27614605e-04],0.00022786612766941263
