,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
0,3300,-9.162816598473986,0.3,3300.0,[ 0.02304276 -8.70485742],-8.681814652268086,0,-0.00016386415991274594,-1.183339069791664e-05,4.061550294882902e-05,0.00017216665072024745,0.0,[-4.80201908e-08 -2.78516148e-04],-0.00027856416826072027,[2.43115111e-07 2.27025699e-04],0.00022726881368478793
1,3301,-8.14123029186955,0.3,3300.3599359935993,[ 0.02240647 -8.70809662],-8.685690142255481,26,-0.0005197386108139067,0.000336073840653911,0.00017263599597600493,8.914913026448951e-05,0.35883588358835883,[-4.70955982e-08 -2.78297533e-04],-0.0002783446283662968,[2.43808008e-07 2.27068210e-04],0.00022731201788387038
2,3302,-8.746782384439165,0.3,3300.7198719871985,[ 0.02176867 -8.71133382],-8.689565154041526,52,-0.00018826814164417174,0.00046628157729582337,0.00012295581525314337,0.00016144104747130248,0.7176717671767177,[-4.61682921e-08 -2.78078833e-04],-0.0002781250016443131,[2.44486857e-07 2.27110653e-04],0.00022735513940534243
3,3303,-8.387694539149525,0.3,3301.0798079807983,[ 0.02112938 -8.71456903],-8.693439645734976,78,-2.3322924915247708e-05,0.00023793838173792988,0.0001454463423209152,0.00014474839220692966,1.0765076507650764,[-4.52383252e-08 -2.77860050e-04],-0.00027790528820875455,[2.45151616e-07 2.27153027e-04],0.00022739817818895287
4,3304,-9.181016822649953,0.3,3301.4397439743975,[ 0.02048867 -8.71780224],-8.697313575310668,104,-0.0002137266804575306,0.0003667746638947591,5.868338930490188e-05,0.0001741545488608827,1.4353435343534353,[-4.43057501e-08 -2.77641182e-04],-0.00027768548817382456,[2.45802241e-07 2.27195332e-04],0.00022744113417523453
5,3305,-9.09756863596461,0.3,3301.799679967997,[ 0.01984656 -8.72103346],-8.701186900612695,130,-0.00013161424131735963,-7.613964083366025e-05,0.00015921847332972948,0.00012690049402639677,1.7941794179417943,[-4.33706198e-08 -2.77422231e-04],-0.000277465601653942,[2.46438690e-07 2.27237569e-04],0.0002274840073055082
6,3306,-8.587874595123068,0.3,3302.159615961596,[ 0.0192031  -8.72426268],-8.705059579357648,156,6.543332526075086e-05,0.00030208931239198735,0.00013952537008265223,0.00015022694112273987,2.1530153015301527,[-4.24329875e-08 -2.77203196e-04],-0.00027724562876373776,[2.47060922e-07 2.27279737e-04],0.00022752679752188466
7,3307,-9.055054622016348,0.3,3302.5195519551953,[ 0.01855833 -8.7274899 ],-8.708931569137816,182,6.250483770494684e-05,2.7490628659679865e-05,0.00013948571911428904,0.0001502604884182743,2.5118511851185117,[-4.14929064e-08 -2.76984077e-04],-0.0002770255696180541,[2.47668896e-07 2.27321836e-04],0.00022756950476726903
8,3308,-8.730789295499182,0.3,3302.879487948795,[ 0.01791229 -8.73071512],-8.712802827424442,208,-0.0001542534877788107,0.00016161673074430275,0.00016774031063428326,0.0001085321267649534,2.8706870687068706,[-4.05504301e-08 -2.76764874e-04],-0.00027680542433193957,[2.48262574e-07 2.27363866e-04],0.0002276121289853637
9,3309,-8.06722962823543,0.3,3303.2394239423943,[ 0.01726503 -8.73393834],-8.716673311570993,234,-6.304522616388454e-05,0.00017791885909472006,7.435624780942096e-05,0.00017420436195719234,3.2295229522952296,[-3.96056121e-08 -2.76545587e-04],-0.00027658519302064773,[2.48841914e-07 2.27405828e-04],0.00022765467012067148
10,3310,-8.90641394767227,0.3,3303.5993599359936,[ 0.01661658 -8.73715956],-8.720542978816445,260,-9.78993661023551e-05,0.00021530827836336352,6.086660934406251e-05,0.00017425889877640361,3.5883588358835885,[-3.86585062e-08 -2.76326217e-04],-0.00027636487579963374,[2.49406881e-07 2.27447721e-04],0.00022769712811849816
11,3311,-8.634407751693438,0.3,3303.959295929593,[ 0.01596699 -8.74037877],-8.724411786288595,286,-0.00012051133372116756,-2.5597073965362785e-05,3.7614202250456714e-05,0.00017164998505434092,3.947194719471947,[-3.77091665e-08 -2.76106764e-04],-0.00027614447278455335,[2.49957435e-07 2.27489545e-04],0.00022773950292495659
12,3312,-9.077066058279051,0.3,3304.319231923192,[ 0.0153163  -8.74359599],-8.72827969100738,312,-8.392611281694713e-05,0.00043280293630378335,5.164129829646263e-05,0.00017361411574825923,4.3060306030603055,[-3.67576471e-08 -2.75887226e-04],-0.000275923984091258,[2.50493541e-07 2.27531301e-04],0.0002277817944869692
13,3313,-8.617713218741779,0.3,3304.679167916792,[ 0.01466454 -8.74681119],-8.732146649888225,338,7.30085085929735e-05,0.0003307590344092379,0.0001735395629735512,8.259121574419464e-05,4.664866486648664,[-3.58040022e-08 -2.75667606e-04],-0.000275703409835793,[2.51015163e-07 2.27572988e-04],0.0002278240027522709
14,3314,-9.209491985821238,0.3,3305.039103910391,[ 0.01401178 -8.7500244 ],-8.73601261974539,364,2.209083292156945e-05,0.00034217622658695197,7.313049276507881e-05,0.00017426092151229532,5.023702370237023,[-3.48482864e-08 -2.75447902e-04],-0.00027548275013439526,[2.51522265e-07 2.27614605e-04],0.00022786612766941263
15,3315,-8.576230530491536,0.3,3305.3990399039903,[ 0.01335804 -8.75323559],-8.739877557295353,390,-0.00024235963872165948,0.0001750545829432202,0.0001712156104990843,9.640941618445096e-05,5.382538253825382,[-3.38905541e-08 -2.75228115e-04],-0.00027526200510348976,[2.52014814e-07 2.27656154e-04],0.00022790816918776373
16,3316,-8.907151765206606,0.3,3305.7589758975896,[ 0.01270336 -8.75644478],-8.743741419160234,416,-3.482041106381689e-06,0.0004475795068005499,9.469668885851864e-05,0.00017159247144588237,5.741374137413741,[-3.29308603e-08 -2.75008244e-04],-0.00027504117485968783,[2.52492776e-07 2.27697634e-04],0.0002279501272575153
17,3317,-8.449034740029091,0.3,3306.1189118911893,[ 0.0120478  -8.75965196],-8.747604161871141,442,-0.00012342384429865074,0.0001379601742681645,0.0001680491094720111,0.00010763555949390397,6.1002100210021,[-3.19692597e-08 -2.74788290e-04],-0.00027482025951978316,[2.52956118e-07 2.27739046e-04],0.00022799200182968313
18,3318,-9.06650611859644,0.3,3306.4788478847886,[ 0.01139139 -8.76285713],-8.751465741871666,468,4.3299354187551846e-05,3.8785246967963795e-05,0.00015135765585585023,0.0001381632832793015,6.459045904590459,[-3.10058074e-08 -2.74568253e-04],-0.00027459925920074896,[2.53404809e-07 2.27780388e-04],0.00022803379285611024
19,3319,-9.261255084712667,0.3,3306.838783878388,[ 0.01073418 -8.76606029],-8.755326115521274,494,0.0001959182121379166,0.00012867442246314103,7.57366757547509e-05,0.00017412779338215543,6.817881788178818,[-3.00405587e-08 -2.74348133e-04],-0.00027437817401973746,[2.53838818e-07 2.27821661e-04],0.00022807550028947017
20,3320,-9.463744634888773,0.3,3307.198719871987,[ 0.0100762  -8.76926144],-8.759185239098786,520,7.570489077590549e-05,0.000373695986284905,8.691544478495246e-05,0.00017298269602223384,7.176717671767177,[-2.90735688e-08 -2.74127931e-04],-0.00027415700409407395,[2.54258114e-07 2.27862866e-04],0.0002281171240832694
21,3321,-9.013332985209082,0.3,3307.5586558655864,[ 0.00941751 -8.77246058],-8.763043068805848,546,0.0001278796249070854,0.00027952728670363496,0.00017363899883985148,5.189611032361006e-05,7.535553555355535,[-2.81048932e-08 -2.73907645e-04],-0.00027393574954125545,[2.54662668e-07 2.27904002e-04],0.00022815866419185042
22,3322,-9.162639585793684,0.3,3307.918591859186,[ 8.7581435e-03 -8.7756577e+00],-8.766899560770412,572,8.22014017232871e-05,0.0001070850835039081,0.00010005458060275416,0.00017032338471506962,7.894389438943894,[-2.71345876e-08 -2.73687276e-04],-0.00027371441047894797,[2.55052452e-07 2.27945068e-04],0.00022820012057039434
23,3323,-9.114861791494498,0.3,3308.2785278527854,[ 8.09814352e-03 -8.77885281e+00],-8.770754671050215,598,0.00020051530596925057,-3.049897489174427e-08,0.0001658931737447958,0.00011342931566353157,8.253225322532254,[-2.61627076e-08 -2.73466824e-04],-0.0002734929870249832,[2.55427437e-07 2.27986066e-04],0.0002282414931749238
24,3324,-9.028754778304114,0.3,3308.6384638463846,[ 7.43755424e-03 -8.78204591e+00],-8.774608355636321,624,0.00022893318300936736,-0.0002154991949764371,5.723973329181651e-05,0.00017406892451441003,8.612061206120611,[-2.5189309e-08 -2.7324629e-04],-0.0002732714792973566,[2.55787597e-07 2.28026994e-04],0.0002282827819623052
25,3325,-9.016440799860005,0.3,3308.998399839984,[ 6.77641876e-03 -8.78523699e+00],-8.778460570456648,650,0.00045801000375108615,0.0002745803377024208,0.00016869295273765284,0.000105678643682634,8.97089708970897,[-2.42144480e-08 -2.73025673e-04],-0.0002730498874142227,[2.56132906e-07 2.28067854e-04],0.00022832398689025195
26,3326,-9.034830121246996,0.3,3309.358335833583,[ 6.11478028e-03 -8.78842605e+00],-8.782311271379458,676,0.00029277536950289996,0.0001682265637578602,0.0001132847395784232,0.00016595172664002854,9.329732973297329,[-2.32381806e-08 -2.72804973e-04],-0.0002728282114938938,[2.56463339e-07 2.28108645e-04],0.00022836510791732648
27,3327,-8.674766637032864,0.3,3309.718271827183,[ 5.45268201e-03 -8.79161310e+00],-8.786160414216972,702,0.00024353542952091297,0.00019179045493270076,0.0001739373490940544,7.844440318736422e-05,9.688568856885688,[-2.22605630e-08 -2.72584191e-04],-0.0002726064516548355,[2.56778871e-07 2.28149366e-04],0.00022840614500294342
