,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
0,3300,1.0705935109591942,0.3,3300.0,[0.02304276 1.23062124],1.2536640093374123,0,0.00026875973776788393,-0.00011249948490447094,0.0001435141786737748,0.0001466444556516473,0.0,[-4.80201908e-08  1.69807171e-04],0.0001697591509945358,[2.43115111e-07 3.56814212e-05],3.5924536277895826e-05
1,3301,1.0871050548969792,0.3,3300.3599359935993,[0.02240647 1.2301542 ],1.2525606769430175,26,0.0003042938733548045,-9.375014218425065e-05,0.00017399283352165343,5.611070423111499e-05,0.35883588358835883,[-4.70955982e-08  1.69845899e-04],0.00016979880316116448,[2.43808008e-07 3.56472993e-05],3.589110726546269e-05
2,3302,1.1031627746184187,0.3,3300.7198719871985,[0.02176867 1.22968712],1.2514557888488276,52,-0.00018169351946316375,-4.0842504024201634e-07,0.00017392137289506406,5.514412781989723e-05,0.7176717671767177,[-4.61682921e-08  1.69884618e-04],0.00016983844945931922,[2.44486857e-07 3.56131755e-05],3.585766240450763e-05
3,3303,1.1898169163368666,0.3,3301.0798079807983,[0.02112938 1.22922   ],1.2503493860125183,78,-9.672515236314462e-05,2.21887968216649e-05,0.00011511278413481533,0.00016519259837344832,1.0765076507650764,[-4.52383252e-08  1.69923328e-04],0.00016987808983428074,[2.45151616e-07 3.55790500e-05],3.582420165313132e-05
4,3304,1.3864699614854619,0.3,3301.4397439743975,[0.02048867 1.22875284],1.2492415095258471,104,0.00033897407002385545,0.00013318109296193888,0.00017437835632929836,6.862113710972659e-05,1.4353435343534353,[-4.43057501e-08  1.69962030e-04],0.00016991772423114693,[2.45802241e-07 3.55449227e-05],3.5790724970197984e-05
5,3305,1.2278250965341888,0.3,3301.799679967997,[0.01984656 1.22828564],1.2481322006114504,130,0.00023467222575973223,-0.0001306693451040903,0.00012070865455794801,0.00016260237758592157,1.7941794179417943,[-4.33706198e-08  1.70000723e-04],0.00016995735259483653,[2.46438690e-07 3.55107936e-05],3.5757232315337937e-05
6,3306,1.108979138982796,0.3,3302.159615961596,[0.0192031 1.2278184],1.2470215006196446,156,0.0003638887820290897,6.0571426910181576e-05,0.00017368068334159658,8.12681570275778e-05,2.1530153015301527,[-4.24329875e-08  1.70039408e-04],0.00016999697487009058,[2.47060922e-07 3.54766627e-05],3.572372364895155e-05
7,3307,1.2342531985665879,0.3,3302.5195519551953,[0.01855833 1.22735112],1.2459094510252038,182,0.0004209113842810966,3.5286331706829106e-05,0.00017380307161728764,5.3691228665776796e-05,2.5118511851185117,[-4.14929064e-08  1.70078084e-04],0.00017003659100147544,[2.47668896e-07 3.54425300e-05],3.569019893221183e-05
8,3308,0.7847151603283723,0.3,3302.879487948795,[0.01791229 1.2268838 ],1.2447960934241007,208,0.00015621145983577784,3.355643021923446e-05,0.00017375589722022226,5.315243730428128e-05,2.8706870687068706,[-4.05504301e-08  1.70116751e-04],0.00017007620093338586,[2.48262574e-07 3.54083956e-05],3.565665812706829e-05
9,3309,1.623647300213113,0.3,3303.2394239423943,[0.01726503 1.22641644],1.2436814695302452,234,0.00012890845786610295,0.0003547006869321936,4.3415603385425774e-05,0.0001726019443636068,3.2295229522952296,[-3.96056121e-08  1.70155410e-04],0.0001701158046100468,[2.48841914e-07 3.53742593e-05],3.5623101196249555e-05
10,3310,1.4816452384315486,0.3,3303.5993599359936,[0.01661658 1.22594904],1.2425656211721978,260,0.0002383715660007449,-0.00013923107384744112,5.697155064828656e-05,0.0001740515731653985,3.5883588358835885,[-3.86585062e-08  1.70194060e-04],0.00017015540197551688,[2.49406881e-07 3.53401212e-05],3.5589528103266535e-05
11,3311,0.8207149574552265,0.3,3303.959295929593,[0.01596699 1.2254816 ],1.2414485902898573,286,0.00011771022862284858,-9.48804929944538e-06,0.0001719666791250764,3.941797310800973e-05,3.947194719471947,[-3.77091665e-08  1.70232702e-04],0.00017019499297369026,[2.49957435e-07 3.53059814e-05],3.5555938812416215e-05
