pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
HAT-P-17 c,HAT-P-17,1,2,0,5584.00000000,7700.00000000,-2100.00000000,0,13.100,,,0,1080.60000,349.60000,-222.50000,0,0.84,0.04,-0.04,0,0.92,0.15,-0.08,0
HAT-P-18 b,HAT-P-18,1,1,0,5.50802300,0.00000600,-0.00000600,0,11.153,0.583,-0.583,0,62.61000,4.13200,-4.13200,0,0.75,0.04,-0.04,0,0.77,0.03,-0.03,0
HAT-P-19 b,HAT-P-19,1,1,0,4.00877800,0.00000600,-0.00000600,0,12.689,0.807,-0.807,0,92.80200,5.72100,-5.72100,0,0.82,0.05,-0.05,0,0.84,0.04,-0.04,0
HAT-P-2 b,HAT-P-2,1,1,0,5.63351580,0.00000360,-0.00000360,0,10.660,0.437,-0.594,0,2765.12100,60.38770,-63.56600,0,1.39,0.09,-0.09,0,1.33,0.03,-0.03,0
HAT-P-20 b,HAT-P-20,1,1,0,2.87531700,0.00000400,-0.00000400,0,9.718,0.370,-0.370,0,2302.89900,59.43200,-59.43200,0,0.69,0.02,-0.02,0,0.76,0.03,-0.03,0
HAT-P-21 b,HAT-P-21,1,1,0,4.12448000,0.00000700,-0.00000700,0,12.442,1.793,-1.793,0,1547.83210,498.99310,-498.99310,0,1.21,0.17,-0.17,0,1.24,0.60,-0.60,0
HAT-P-22 b,HAT-P-22,2,1,0,3.21222000,0.00000900,-0.00000900,0,12.890,2.130,-2.130,0,785.04010,101.70560,-101.70560,0,1.11,0.05,-0.05,0,1.13,0.22,-0.22,0
HAT-P-23 b,HAT-P-23,1,1,0,1.21288000,0.00000200,-0.00000200,0,12.218,2.578,-2.578,0,425.89220,187.51970,-187.51970,0,0.96,0.20,-0.20,0,0.58,0.38,-0.38,0
HAT-P-24 b,HAT-P-24,2,1,0,3.35524000,0.00000700,-0.00000700,0,14.572,2.354,-2.354,0,238.37250,79.45750,-79.45750,0,1.38,0.22,-0.22,0,1.37,0.69,-0.69,0
HAT-P-25 b,HAT-P-25,1,1,0,3.65281514,0.00000076,-0.00000075,0,12.722,0.538,-0.538,0,180.84527,7.31009,-6.99226,0,0.92,0.03,-0.03,0,1.01,0.05,-0.05,0
HAT-P-26 b,HAT-P-26,1,1,0,4.23452000,0.00001500,-0.00001500,0,7.062,0.448,-0.448,0,22.24810,6.35660,-6.35660,0,0.87,0.05,-0.05,0,1.12,0.36,-0.36,0
HAT-P-27 b,HAT-P-27,2,1,0,3.03957700,0.00000500,-0.00000600,0,11.430,0.780,-0.670,0,197.05000,9.53000,-9.53000,0,0.86,0.05,-0.04,0,0.92,0.12,-0.10,0
HAT-P-28 b,HAT-P-28,1,1,0,3.25721500,0.00000700,-0.00000700,0,13.585,1.267,-0.919,0,198.95300,11.75900,-11.75900,0,1.10,0.09,-0.07,0,1.03,0.05,-0.05,0
HAT-P-29 b,HAT-P-29,2,1,0,5.72319000,0.00004900,-0.00004900,0,13.115,1.457,-1.457,0,279.69040,79.45750,-79.45750,0,1.30,0.14,-0.14,0,1.45,0.60,-0.60,0
HAT-P-3 b,HAT-P-3,2,1,0,2.89970000,0.00005400,-0.00005400,0,10.536,0.785,-0.785,0,206.58950,34.96130,-34.96130,0,0.87,0.06,-0.06,0,1.06,0.28,-0.28,0
