pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim
Kepler-37 d,Published Confirmed,0,39.792,,,0,62.5,55.4,-40.8,0,0.77,,,0,0.8,,,0,,,,
Kepler-37 d,Published Confirmed,0,39.7922,,,0,12.2,,,1,0.77,0.03,-0.03,0,0.8,0.07,-0.07,0,5.66,,,0
Qatar-1 b,Published Confirmed,0,1.42002406,0.00000021,-0.00000021,0,405.23325,25.10857,-13.66669,0,0.78,0.03,-0.01,0,0.8,0.07,-0.04,0,9.8,3.4,-5.8,0
WASP-2 b,Published Confirmed,0,2.15222144,0.00000039,-0.00000039,0,269.20201,14.30235,-14.30235,0,0.81,0.02,-0.02,0,0.8,0.06,-0.06,0,11.9,8.7,-5,0
WASP-2 b,Published Confirmed,0,2.15222144,0.00000039,-0.00000039,0,269.20201,14.30235,-14.30235,0,0.81,0.02,-0.02,0,0.8,0.06,-0.06,0,11.9,8.7,-5,0
HAT-P-11 b,Published Confirmed,0,4.8878162,0.0000071,-0.0000071,0,25.743,2.86,-2.86,0,0.75,0.02,-0.02,0,0.81,0.02,-0.03,0,6.5,5.9,-4.1,0
HD 189733 b,Published Confirmed,0,2.218577,0.000009,-0.00001,0,370.58978,16.52716,-15.57367,0,0.77,0.02,-0.02,0,0.81,0.04,-0.04,0,,,,
HD 189733 b,Published Confirmed,0,2.218573,,,0,363.582,18.116,-18.116,0,0.76,0.02,-0.02,0,0.81,0.05,-0.05,0,6.8,5.2,-4.4,0
HD 189733 b,Published Confirmed,0,2.2185752,0.00000008,-0.00000008,0,356.92309,14.30235,-14.30235,0,0.76,0.02,-0.02,0,0.81,0.05,-0.05,0,6.8,5.2,-4.4,0
HD 219134 b,Published Confirmed,0,3.092926,0.00001,-0.00001,0,4.74,0.19,-0.19,0,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,11,2.2,-2.2,0
HD 219134 c,Published Confirmed,0,6.76458,0.00033,-0.00033,0,4.36,0.22,-0.22,0,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,11,2.2,-2.2,0
HD 219134 d,Published Confirmed,0,46.859,0.028,-0.028,0,16.17,0.64,-0.64,-1,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,11,2.2,-2.2,0
Kepler-215 d,Published Confirmed,0,30.864,,,0,23.6,17.3,-11.9,0,1.01,,,0,0.81,,,0,,,,
Kepler-94 b,Published Confirmed,0,2.50806,,,0,10.84,1.4,-1.4,0,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0,1.41,,,0
Kepler-94 c,Published Confirmed,0,820.3,3,-3,0,3126,200,-200,0,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0,1.41,,,0
OGLE-TR-111 b,Published Confirmed,0,4.0144479,0.0000041,,0,165.2716,,,0,0.83,0.03,-0.03,0,0.81,0.02,-0.02,0,,,,
TOI-561 b,Published Confirmed,0,0.446573,0.000032,-0.000021,0,3.2,0.8,-0.8,0,0.83,0.02,-0.02,0,0.81,0.03,-0.03,0,10,3,-3,0
TOI-561 c,Published Confirmed,0,10.77892,0.00015,-0.00015,0,7,2.3,-2.3,0,0.83,0.02,-0.02,0,0.81,0.03,-0.03,0,10,3,-3,0
WASP-11 b,Published Confirmed,0,3.72247967,0.00000045,-0.00000045,0,156.37236,7.62792,-7.62792,0,0.77,0.01,-0.01,0,0.81,0.04,-0.04,0,7.6,6,-3.5,0
WASP-11 b,Published Confirmed,0,3.7224793,0.0000007,-0.0000007,0,169.08556,6.67443,-6.3566,0,0.77,0.01,-0.01,0,0.81,0.04,-0.04,0,7.6,5.8,-3,0
WASP-144 b,Published Confirmed,0,2.2783152,0.0000013,-0.0000013,0,139.8452,19.0698,-19.0698,0,0.81,0.04,-0.04,0,0.81,0.04,-0.04,0,8.71,4.12,-4.12,0
WASP-41 b,Published Confirmed,0,3.0524,0.000001,-0.000001,0,270.1555,34.9613,-34.9613,0,0.83,0.04,-0.04,0,0.81,0.15,-0.15,0,,,,
CoRoT-7 b,Published Confirmed,0,0.85359163,0.00000001,-0.00000001,0,4.07661,1.01982,-1.01982,0,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0,,,,
HAT-P-26 b,Published Confirmed,0,4.234516,0.000015,-0.000015,0,18.751,2.225,-2.225,0,0.79,0.1,-0.04,0,0.82,0.03,-0.03,0,9,3,-4.9,0
HD 189733 b,Published Confirmed,0,2.219,0.0005,-0.0005,0,365.49,12.71,-12.71,0,0.76,0.01,-0.01,0,0.82,0.03,-0.03,0,,,,
Kepler-240 c,Published Confirmed,0,7.954,,,0,102.3,43.3,-39.4,0,0.77,,,0,0.82,,,0,,,,
Kepler-413 b,Published Confirmed,0,66.262,0.024,-0.021,0,67,22,-21,0,0.78,0.01,-0.01,0,0.82,0.01,-0.01,0,,,,
OGLE-TR-111 b,Published Confirmed,0,4.0161,,,0,168.4499,34.9613,-34.9613,0,0.85,0.1,-0.03,0,0.82,0.15,-0.02,0,,,,
OGLE-TR-111 b,Published Confirmed,0,4.014484,0.000014,-0.000014,0,168.4499,,,0,0.83,0.03,-0.03,0,0.82,0.02,-0.02,0,,,,
Qatar-1 b,Published Confirmed,0,1.42002586,0.00000275,-0.00000275,0,410.95419,23.83725,-23.83725,0,0.8,0.02,-0.02,0,0.82,0.07,-0.07,0,1.19,0.47,-0.47,0
TOI-220 b,Published Confirmed,0,10.695264,0.000086,-0.000086,0,13.8,1,-1,0,0.86,0.03,-0.03,0,0.82,0.03,-0.03,0,10.1,1.4,-1.4,0
TOI-2202 b,Published Confirmed,0,11.9101,0.0022,-0.0036,0,310.83618,20.02319,-18.68831,0,0.79,0.01,-0.01,0,0.82,0.03,-0.02,0,7.48,3.32,-3.33,0
TOI-2202 c,Published Confirmed,0,24.6744,0.0258,-0.0339,0,117.27868,32.73633,-26.57045,0,0.79,0.01,-0.01,0,0.82,0.03,-0.02,0,7.48,3.32,-3.33,0
WASP-29 b,Published Confirmed,0,3.9227186,0.0000068,-0.0000068,0,77.86835,7.31009,-6.99226,0,0.81,0.04,-0.04,0,0.82,0.03,-0.03,0,14,0,-7,0
WASP-29 b,Published Confirmed,0,3.922727,0.000004,-0.000004,0,77.547,6.356,-6.356,0,0.81,0.04,,0,0.82,0.03,,0,,,,
