,period,ecc,Tper,omega,Omega,inclination,mass
0,293.0,0.0167,100.0,1.7959438003021653,0.0,0.0,3e-06
1,10740.0,0.0539,970.0,-0.3683,1.9844,0.043389,0.0002858
